img_id,top1_hit,top3_hit,top5_hit,top1_center_distance_voxels,top1_score,report_image
rem_221,0,0,0,296.10302261206317,0.8617224097251892,images/rem_221.png
inj_1867,0,0,0,320.00390622615845,0.8151891231536865,images/inj_1867.png
inj_1399,0,0,0,412.30844036958547,0.8537441492080688,images/inj_1399.png
inj_1888,0,0,0,157.09471665208858,0.8411241173744202,images/inj_1888.png
inj_2176,0,0,0,84.05950273467003,0.8448339700698853,images/inj_2176.png
inj_1863,0,0,0,253.4935896625396,0.8350269198417664,images/inj_1863.png
inj_1084,0,0,0,295.5080371157441,0.8667055368423462,images/inj_1084.png
rem_77,0,0,0,71.9061888852413,0.8593011498451233,images/rem_77.png
inj_1962,0,0,0,366.61014715907686,0.8492273092269897,images/inj_1962.png
inj_1961,0,0,0,226.7112701212712,0.8492273092269897,images/inj_1961.png
inj_2170,0,0,0,235.75039766668476,0.8359616994857788,images/inj_2170.png
inj_314,0,0,0,115.35380357838228,0.8382407426834106,images/inj_314.png
inj_305,0,0,0,148.23208154782148,0.8086395859718323,images/inj_305.png
inj_1862,0,0,0,322.2871390546014,0.8350269198417664,images/inj_1862.png
rem_552,0,0,0,122.08501136503203,0.821843683719635,images/rem_552.png
inj_1864,0,0,0,431.9971064717911,0.8151891231536865,images/inj_1864.png
inj_1979,0,0,0,354.8608882365032,0.8186191916465759,images/inj_1979.png
inj_1897,0,0,0,70.63993204979744,0.8305294513702393,images/inj_1897.png
inj_2141,0,0,0,99.60672668048078,0.8593011498451233,images/inj_2141.png
inj_1124,0,0,0,353.44872329660495,0.8198468089103699,images/inj_1124.png
inj_327,0,0,0,140.91398085356897,0.8271281719207764,images/inj_327.png
inj_2128,0,0,0,223.42448388661435,0.8181731104850769,images/inj_2128.png
inj_432,0,0,0,403.5758912521906,0.8414120674133301,images/inj_432.png
inj_2127,0,0,0,253.5912064721488,0.8181731104850769,images/inj_2127.png
inj_361,0,0,0,280.9354908159523,0.8340604305267334,images/inj_361.png
inj_1138,0,0,0,122.66723278854872,0.8454446196556091,images/inj_1138.png
rem_344,0,0,0,299.9758323598753,0.8608969449996948,images/rem_344.png
inj_1206,0,0,0,331.2080162073376,0.8198960423469543,images/inj_1206.png
inj_2483,0,0,0,207.69448716805172,0.836482584476471,images/inj_2483.png
inj_162,0,0,0,159.94842918891075,0.8267138004302979,images/inj_162.png
