img_id,top1_hit,top3_hit,top5_hit,top1_center_distance_voxels,top1_score,report_image
rem_221,0,0,0,369.6011363618895,0.41936632990837097,images/rem_221.png
inj_1867,0,0,0,107.41741013448426,0.42473843693733215,images/inj_1867.png
inj_1399,0,0,0,398.8762339372954,0.47922849655151367,images/inj_1399.png
inj_1888,0,1,1,58.16141332533108,0.4185011684894562,images/inj_1888.png
inj_2176,0,0,0,92.22797840135064,0.42940908670425415,images/inj_2176.png
inj_1863,0,0,0,304.95081570640207,0.3942195177078247,images/inj_1863.png
inj_1084,0,0,0,110.11357772772621,0.43552008271217346,images/inj_1084.png
rem_77,0,0,0,207.11953070630494,0.43737274408340454,images/rem_77.png
inj_1962,0,0,0,330.38613772372474,0.4250051975250244,images/inj_1962.png
inj_1961,0,0,0,255.76160775221913,0.4250051975250244,images/inj_1961.png
inj_2170,0,0,0,247.53636096541453,0.43603068590164185,images/inj_2170.png
inj_314,0,0,0,248.2468529508481,0.4427143335342407,images/inj_314.png
inj_305,0,0,0,151.6995385622514,0.38749369978904724,images/inj_305.png
inj_1862,0,0,0,379.21629711814865,0.3942195177078247,images/inj_1862.png
rem_552,0,0,0,267.08940450717995,0.43803203105926514,images/rem_552.png
inj_1864,0,0,0,153.09310892394862,0.42473843693733215,images/inj_1864.png
inj_1979,0,0,0,170.05366799925253,0.4476984441280365,images/inj_1979.png
inj_1897,0,0,1,413.1416222072039,0.4261806011199951,images/inj_1897.png
inj_2141,0,0,0,194.32318441194812,0.43737274408340454,images/inj_2141.png
inj_1124,0,0,0,343.29870375519914,0.4056778848171234,images/inj_1124.png
inj_327,0,0,0,91.04257245926216,0.4387757182121277,images/inj_327.png
inj_2128,0,0,0,151.7843865488147,0.4286692142486572,images/inj_2128.png
inj_432,0,0,0,176.66210685939416,0.4180854260921478,images/inj_432.png
inj_2127,0,0,0,224.11715686220901,0.4286692142486572,images/inj_2127.png
inj_361,0,0,0,294.93855292246894,0.4178128242492676,images/inj_361.png
inj_1138,0,0,0,338.7849612955097,0.42906129360198975,images/inj_1138.png
rem_344,0,0,0,214.14364337985847,0.4160495698451996,images/rem_344.png
inj_1206,0,0,0,346.89876044748274,0.44850799441337585,images/inj_1206.png
inj_2483,0,0,0,89.08984229416954,0.4213320314884186,images/inj_2483.png
inj_162,0,0,0,175.6345637965375,0.4272586703300476,images/inj_162.png
