img_id,top1_hit,top3_hit,top5_hit,top1_center_distance_voxels,top1_score,report_image
rem_27,0,0,0,147.32362336027444,0.5937967896461487,images/rem_27.png
inj_1741,0,0,0,132.0227253165151,0.5639758110046387,images/inj_1741.png
inj_189,0,0,0,205.8275977608445,0.5979475975036621,images/inj_189.png
inj_314,0,0,0,119.97082978791136,0.6293337345123291,images/inj_314.png
inj_2166,0,0,0,177.9578601804371,0.5979475975036621,images/inj_2166.png
inj_163,0,0,0,139.04855267136008,0.5548532009124756,images/inj_163.png
inj_1266,0,0,0,130.64933983759735,0.5667838454246521,images/inj_1266.png
inj_2301,0,0,0,76.60450378404654,0.5714592337608337,images/inj_2301.png
inj_1866,0,0,0,124.1370210694618,0.5955062508583069,images/inj_1866.png
inj_2278,0,0,0,76.02795538484511,0.596744179725647,images/inj_2278.png
inj_2138,0,0,0,132.82789616643035,0.5548532009124756,images/inj_2138.png
inj_2178,0,1,1,42.15744299646268,0.6156428456306458,images/inj_2178.png
rem_356,0,0,0,65.58200972827838,0.6176044940948486,images/rem_356.png
inj_2127,0,0,0,260.8179441679579,0.5906590223312378,images/inj_2127.png
inj_1157,0,0,0,199.003140678734,0.5466386079788208,images/inj_1157.png
inj_2277,0,0,0,87.29404332484548,0.596744179725647,images/inj_2277.png
inj_2344,0,0,0,100.09995004993759,0.5952433347702026,images/inj_2344.png
inj_1565,0,0,0,244.25498971361876,0.5490726828575134,images/inj_1565.png
inj_2121,0,0,0,215.18712786781649,0.5936545133590698,images/inj_2121.png
