epoch,train_loss,valid_loss,valid_dice,valid_iou,valid_precision,valid_recall
1,0.5904070183169097,0.5444814442371836,0.0,0.0,1.0,0.0
2,0.538859780644998,0.5471530899709585,0.0,0.0,1.0,0.0
3,0.5343798256944865,0.5413314902356693,0.0,0.0,1.0,0.0
4,0.5338329824153334,0.5398931164826666,0.0,0.0,1.0,0.0
5,0.5328673865878955,0.5406866646846946,0.0,0.0,1.0,0.0
6,0.5328978587640449,0.538750109137321,0.0,0.0,1.0,0.0
