epoch,train_loss,valid_loss,valid_dice,valid_iou,valid_precision,valid_recall,valid_soft_dice,valid_mean_positive_probability,valid_mean_negative_probability
1,0.34996218129526824,0.3275282152991663,0.008319316403114034,0.004177033232099094,0.1376025358449408,0.004289322344442341,0.1733252422410187,0.41406925795591115,0.39324534466069133
2,0.3444492221897235,0.32732961871999317,0.007164492415472131,0.0035951248300247593,0.1483584706492763,0.003670882915471327,0.17709476145695446,0.4108037472559794,0.3774584008320589
3,0.34947721892240224,0.3264260877412362,0.019290275950585193,0.009739072674994319,0.15829454635265927,0.010270964122721757,0.18151254653684426,0.42499283725843895,0.380713037860722
4,0.3431695563303947,0.32582418679639225,0.11446676536931928,0.060707901227601474,0.16108141592692884,0.08877620531941134,0.18796364031381485,0.43321887850768487,0.3712856534611892
5,0.3413115130533697,0.3248760438866617,0.24752662325952388,0.14124415614228195,0.15474947383335932,0.6180922706315732,0.1885214613695176,0.47528763409776636,0.41705858245213306
6,0.34442307147037354,0.3272618775777257,0.22998027881804223,0.12993091323551434,0.15406267145301847,0.45340517087963955,0.19217475315665783,0.43922022003871247,0.3662344408938054
7,0.3386927100327739,0.3269129649204893,0.24101049699882038,0.1370164498353227,0.15354376055579613,0.5600382060103636,0.19517109424743512,0.44656656772226055,0.3658449178787731
8,0.33231916825752705,0.3308083355362446,0.2508032644912527,0.14338196464693692,0.1558578975415457,0.6417344529994002,0.19304637375922368,0.4606792049764143,0.38721502492286913
9,0.34106640396930743,0.32868324740477933,0.24479656971635358,0.13946905839672025,0.1544348397175227,0.5900309688967023,0.19753583545886932,0.4441944518767357,0.35699453100660955
10,0.343183089113154,0.34522358366872774,0.24696155489860264,0.14087629144055547,0.1548851563156528,0.6090023177533818,0.19395909858660723,0.4373783152913111,0.3592877815122018
11,0.33822071436588885,0.3246673553281265,0.24969688253965244,0.14265922287903895,0.1511170941925871,0.7182223509764614,0.19209147058965517,0.48533603528354097,0.4170393712830244
12,0.34049238039006013,0.32509476277405785,0.2504604390828085,0.14315791690443702,0.15349303503482578,0.6801150607221638,0.19521878168030518,0.4741362167514656,0.3956361415335684
13,0.338365105972116,0.3280833226321069,0.25002996306832725,0.1428767109102735,0.15458349088844076,0.6535754652815985,0.19745825009859566,0.459517207313469,0.37346843974440613
14,0.3360207310070109,0.3622296311539779,0.2450217513722001,0.13961526392921403,0.15641867597113912,0.5651498712919975,0.19359045776696557,0.4185462149116415,0.3396098306781793
