epoch,train_loss,valid_loss,valid_auc,valid_ap,valid_balanced_accuracy,valid_n,valid_n_pos
1,0.050106589507777244,0.2218457331302865,0.5398404379867889,0.048338043810663034,0.4582717144828946,3712.0,184.0
2,0.037548997286648955,0.3258530250911055,0.4705407978408755,0.042570262075050845,0.4506679483387558,3712.0,184.0
3,0.0323773987183813,0.39860768153749665,0.4191645408163265,0.0404910812636357,0.45064946268362416,3712.0,184.0
4,0.030293178066131077,0.49668774753808975,0.4118734903381642,0.04549505288158209,0.44309499161983634,3712.0,184.0
