epoch,train_loss,valid_loss,valid_dice,valid_iou,valid_precision,valid_recall,valid_soft_dice,valid_mean_positive_probability,valid_mean_negative_probability
1,0.2928609015177699,0.23978135992241034,9.494939107880603e-06,4.747492092514468e-06,0.03566621803499327,4.748101565655136e-06,0.055887893708779945,0.26338256905621,0.18307380134806645
2,0.28913828747568004,0.23862807670267092,0.0087448199954898,0.004391611925634762,0.05734401743492564,0.004733319740026209,0.0557942895130659,0.3992952742234704,0.2896571852025917
3,0.2922837235958653,0.23984076965688586,0.001442973418604064,0.0007220076282098,0.0493413506236341,0.0007321930961528193,0.0647321446970395,0.32515922265872904,0.19560735172098154
4,0.29834965214676856,0.23759505181220633,0.0007804129857306075,0.00039035881340884304,0.05288531070722653,0.00039310697490744785,0.06306419390297396,0.3424274857386738,0.21343638334465018
5,0.2941714675944409,0.237703947176483,0.0157195410802101,0.00792203592468353,0.05440976019211372,0.00918685983496674,0.06320776784174822,0.3929751926922954,0.24766597616628158
6,0.28694349925224777,0.23729597653882356,0.0008100440479246403,0.00040518613327009866,0.059472948431518576,0.00040779921371438075,0.06515911857665595,0.3576685782105498,0.21581825116977454
7,0.29031714594339714,0.2375456604727927,0.02730629519901117,0.01384213632991033,0.05670118672041412,0.01798338988650783,0.06490979302876898,0.38752150531661955,0.23665261901304385
8,0.29255005967905845,0.23770748176441087,0.012080800813862461,0.00607710857604695,0.05506296764042754,0.006784678790033215,0.07467859919825136,0.3494887638416119,0.17962905060724413
9,0.2980161106630419,0.23745234260116896,6.501756101038365e-05,3.250983736035883e-05,0.09409020217729394,3.2520016383638004e-05,0.06997028477512389,0.3198980573635172,0.17550217397993054
10,0.30116109871436336,0.23800219467824546,0.0001369430936107186,6.847623547912196e-05,0.0752360346184107,6.853391882502224e-05,0.07363355555475512,0.30776450777954045,0.1581852053712273
11,0.28795918739330784,0.2381423006748605,0.08966559046183611,0.04693711740423153,0.0511073141268598,0.3651728183548348,0.06598696507655619,0.3883663986348402,0.2328432016987659
12,0.28231105344419516,0.23870689626349947,0.007526575252611724,0.003777503458328919,0.07437339998688892,0.003963858525924097,0.07597473810510876,0.3096398287243302,0.1534535159393875
13,0.3013458982083552,0.23828164252881354,0.061962648097789605,0.031971854431480595,0.042300045651334044,0.11578263585214447,0.07666014808144586,0.3447277617735897,0.17153941275485204
14,0.2963873631242109,0.23846791919184038,0.004414437694743987,0.0022121014393612507,0.09512836275726295,0.002259648411141877,0.07108450905915314,0.31085292388094415,0.16674210015727473
15,0.2949737782712072,0.2383907640540128,0.007784271822264157,0.003907343824347963,0.08035077901027946,0.0040902655317569155,0.07214302248452283,0.3215536218339569,0.17033902991772193
16,0.2947197068634555,0.23796524936195057,0.06726935801768769,0.034805345637140946,0.046439304534035886,0.12198491071239799,0.07230630063291336,0.33906497875538105,0.18035209060398905
17,0.28495746504525954,0.23872077808050532,0.07937888728988401,0.04132980042996375,0.049015967948066425,0.20858965616219372,0.07555017993543124,0.324801592065331,0.16311797193668787
18,0.282954804340954,0.2393011879025668,0.05716619013370568,0.029424127706342444,0.05784537745268073,0.05650276697858409,0.07038975908476316,0.3010784640805221,0.16268452479044954
