epoch,train_loss,valid_loss,valid_auc,valid_ap,valid_balanced_accuracy,valid_n,valid_n_pos
1,0.07133811549283564,0.04245880297545729,0.8304480306615398,0.187145195831472,0.5920215912451937,3712.0,184.0
2,0.04013791520264931,0.03458306345093096,0.8479947685595978,0.17164148456515144,0.5293305728088337,3712.0,184.0
3,0.03813816451292951,0.0261205915875476,0.8686001121463077,0.19008681570866037,0.5732340037464261,3712.0,184.0
4,0.03550833815825172,0.03348694713625672,0.7701424319727891,0.12632049609794513,0.5186458641427586,3712.0,184.0
5,0.03577221628074767,0.038463781571722234,0.7801139024450359,0.11768871360515064,0.5264283249531697,3712.0,184.0
6,0.03619927030376857,0.024228452002340608,0.8705580511189984,0.20283463968377935,0.5551796805678794,3712.0,184.0
7,0.03496941834600875,0.02162455084557035,0.8134658754806271,0.15494003950363053,0.5,3712.0,184.0
8,0.034695400529017206,0.02778343396293449,0.8706181294981761,0.22414673775706415,0.6250554569653949,3712.0,184.0
9,0.034222037145809736,0.027409658281550068,0.8609586044562754,0.1933626855785659,0.569807995662033,3712.0,184.0
10,0.03377326292684302,0.020512089129248314,0.8549715629005225,0.22111947173131455,0.5033089322685596,3712.0,184.0
11,0.03210758155910298,0.030425763255434817,0.8430121142659963,0.17459073773595635,0.5756248151434487,3712.0,184.0
12,0.03295173590595368,0.028266208206207073,0.8539787291728286,0.18500967046980574,0.5741336389628315,3712.0,184.0
13,0.03333820267289411,0.021781163470787478,0.8744539029379869,0.22746724930568213,0.5167788129744652,3712.0,184.0
14,0.033128751696494874,0.02523896224186595,0.855557712215321,0.1964251856571731,0.5303904170363798,3712.0,184.0
15,0.032928456137597095,0.021402831313778358,0.8430259785073451,0.17687315080492144,0.5166370896184561,3712.0,184.0
16,0.03315953556011664,0.02683524940773074,0.853252396973282,0.19328460915954185,0.5712252292221236,3712.0,184.0
