epoch,train_loss,valid_loss,valid_dice,valid_iou,valid_precision,valid_recall,valid_soft_dice,valid_mean_positive_probability,valid_mean_negative_probability
1,0.2213615570217371,0.3396149238165843,0.1905617974039946,0.1053154493646675,0.1053154493646675,1.0,0.17649788883557038,0.5858582513808863,0.590780547523702
2,0.20239119313191622,0.3470842179338463,0.2039217035418277,0.11353720154848311,0.11358802062805866,0.9960749238704162,0.18614181593525983,0.6385669541030291,0.6105561275317728
3,0.1871181167080067,0.3388799288674351,0.23660610340515298,0.13417654663659925,0.14275350650063587,0.6907100747103162,0.19637355229654196,0.5916905734602452,0.5185160787859154
4,0.17892969575768802,0.36981403628316223,0.20673825123385628,0.11528615461524389,0.11775804425530499,0.8459667036107124,0.1998991986596228,0.6782792651115697,0.5970380890202931
5,0.17150063814187888,0.3827836560641592,0.2315041455065854,0.13090454519210606,0.137108172328764,0.743139218019864,0.20754126965945555,0.6693630463449742,0.5588197866678337
6,0.168515754659893,0.37238231512763703,0.23249977777805508,0.13154158333614063,0.1393560537514626,0.7011170335306613,0.21059538703162634,0.6355953460064573,0.514600975012376
7,0.17121124082586903,0.3469713275709061,0.21877551029259157,0.12282309813095404,0.15765381612376939,0.35729862115896877,0.1989724150875069,0.44745500443664993,0.35647914171120965
8,0.2005431598481664,0.3537529194381293,0.2286871717829317,0.12910603262164536,0.15273151045867564,0.45493130408467514,0.20427107468164907,0.5003033540577684,0.3973326865021022
9,0.17337838447565446,0.35778677386730096,0.2315802927460459,0.13095324135787284,0.13972206480169871,0.6760192829148338,0.21018015002939272,0.5951228458873734,0.475634099518783
10,0.16694963302870747,0.5367410160029695,0.22380443088012938,0.1260021333073292,0.13704240677290072,0.6099933259893836,0.21042666973062837,0.6066319505375952,0.4864102404805707
11,0.17899002139893128,0.37773125646191497,0.23566156186926443,0.1335693633240462,0.14321569259070735,0.6647735130493818,0.21609133780744397,0.6290554707851339,0.4902604237516047
12,0.1520103798720811,0.35258906505581,0.22707363265568062,0.12807843395990326,0.15650658418353738,0.4135293297887354,0.2069201683081321,0.44660441780900145,0.3355793770832241
13,0.1568922415540328,0.35890153456335905,0.23258294342532262,0.13159482792141736,0.14695528004643948,0.5573230045832692,0.21133053041154462,0.521811245291759,0.39947970026353047
14,0.16235107925194825,0.37201894296242405,0.23821508501405375,0.13521235366915035,0.1521295612212982,0.5487180640446487,0.22163428596871373,0.5193507461735112,0.37043704974986874
15,0.1489972560048045,0.4588485165376874,0.22845449730349085,0.1289577360309149,0.1454361503438589,0.5323087455038081,0.2163765720498997,0.5213406314793372,0.3855135115485314
16,0.23805684126273263,0.35239437939484647,0.2299381789157468,0.12990403847866622,0.1354578157413149,0.7600990671790786,0.2094954943723362,0.6310525830227265,0.5136026566728288
17,0.15072868831248343,0.34921268942540695,0.22889443010363347,0.12923816287079198,0.14552098140959813,0.5359656393813729,0.2091517273725297,0.5143173044044751,0.3980382001262679
18,0.14660882904354366,0.3757153429687094,0.21688328488230868,0.1216315696238615,0.14834133878811426,0.40317044721891726,0.207306352050767,0.4442451510718702,0.3322747247694675
19,0.16577318227064097,0.36563706073737695,0.22626414945301315,0.12756361066008648,0.1410150721490579,0.5721525357610275,0.21125853079868478,0.5270787710329169,0.40469851372003524
