img_id,top1_hit,top3_hit,top5_hit,top1_center_distance_voxels,top1_score,report_image
rem_221,0,0,0,142.98601330200097,0.5256730914115906,images/rem_221.png
inj_1867,0,0,0,206.11283317639393,0.5190920233726501,images/inj_1867.png
inj_1399,0,0,0,132.47735655575258,0.5304966568946838,images/inj_1399.png
inj_1888,0,0,0,233.93749165108187,0.5221830606460571,images/inj_1888.png
inj_2176,0,0,0,215.1697004691878,0.5425231456756592,images/inj_2176.png
inj_1863,0,0,0,299.3910486303824,0.514240026473999,images/inj_1863.png
inj_1084,0,0,0,248.766959220874,0.5200703144073486,images/inj_1084.png
rem_77,0,0,0,105.76625170629808,0.5169676542282104,images/rem_77.png
inj_1962,0,0,0,354.5405477515936,0.535126805305481,images/inj_1962.png
inj_1961,0,0,0,233.25093783305567,0.535126805305481,images/inj_1961.png
inj_2170,0,0,0,235.03669926205143,0.5309552550315857,images/inj_2170.png
inj_314,0,0,0,236.39479689705524,0.5364445447921753,images/inj_314.png
inj_305,0,0,0,151.6995385622514,0.5004760026931763,images/inj_305.png
inj_1862,0,0,0,372.5761667095736,0.514240026473999,images/inj_1862.png
rem_552,0,0,0,90.1152040446006,0.5159506797790527,images/rem_552.png
inj_1864,0,0,0,132.71586190052793,0.5190920233726501,images/inj_1864.png
inj_1979,0,1,1,211.06930141543558,0.5199106335639954,images/inj_1979.png
inj_1897,0,0,0,385.4529802712647,0.525336742401123,images/inj_1897.png
inj_2141,0,0,0,40.41658075592244,0.5169676542282104,images/inj_2141.png
inj_1124,0,0,0,113.12824580978881,0.5298116207122803,images/inj_1124.png
inj_327,0,0,0,228.21207242387507,0.5192984938621521,images/inj_327.png
inj_2128,0,0,0,259.812432343027,0.5200272798538208,images/inj_2128.png
inj_432,0,0,0,245.29472069329174,0.5242495536804199,images/inj_432.png
inj_2127,0,0,0,312.51959938538255,0.5200272798538208,images/inj_2127.png
inj_361,0,1,1,99.34158243152764,0.5196743607521057,images/inj_361.png
inj_1138,0,0,0,145.13183661760777,0.5238080620765686,images/inj_1138.png
rem_344,0,0,0,312.82183427631776,0.509707510471344,images/rem_344.png
inj_1206,0,1,1,338.0454851051852,0.51936274766922,images/inj_1206.png
inj_2483,0,0,0,111.14405067298924,0.5205414295196533,images/inj_2483.png
inj_162,0,0,1,196.3657302076918,0.5175596475601196,images/inj_162.png
